cms_omds_lb.CMS_BEAM_COND.CMS_BRIL_LUMIPLTZ.LUMI_TOTINST,,,
56418,,,
ROW,WEIGHT,DIPTIME,LUMI_TOTINST
1,1,1444157330,3459.9353
2,1,1444157332,3459.8865
3,1,1444157333,3460.969
4,1,1444157335,3458.7317
5,1,1444157336,3412.3726
6,1,1444157337,3210.8032
7,1,1444157339,3119.1316
8,1,1444157340,3119.0708
9,1,1444157342,3117.4878
10,1,1444157343,3115.8264
11,1,1444157345,3116.8455
12,1,1444157346,3115.5667
13,1,1444157348,3115.5615
14,1,1444157349,3115.9436
15,1,1444157351,3201.958
16,1,1444157352,3429.5457
17,1,1444157354,3383.027
18,1,1444157355,3293.4673
19,1,1444157356,3290.9185
20,1,1444157358,3290.9834
21,1,1444157359,3292.3184
22,1,1444157362,3447.1357
23,1,1444157363,3464.939
24,1,1444157365,3466.1382
25,1,1444157366,3467.098
26,1,1444157368,3466.6724
27,1,1444157369,3466.7273
28,1,1444157371,3465.641
29,1,1444157372,3466.1726
30,1,1444157374,3465.9185
31,1,1444157375,3466.0796
32,1,1444157376,3465.7012
33,1,1444157378,3466.2861
34,1,1444157379,3467.5364
35,1,1444157381,3465.8535
36,1,1444157382,3465.934
37,1,1444157384,3465.0547
38,1,1444157385,3464.8274
39,1,1444157387,3465.487
40,1,1444157388,3465.736
41,1,1444157390,3466.9019
42,1,1444157391,3465.5776
43,1,1444157392,3466.6033
44,1,1444157394,3465.7605
45,1,1444157395,3466.6729
46,1,1444157397,3464.9133
47,1,1444157398,3466.3303
48,1,1444157400,3465.239
49,1,1444157401,3466.0725
50,1,1444157403,3464.7954
51,1,1444157404,3464.4016
52,1,1444157406,3464.2502
53,1,1444157407,3466.2449
54,1,1444157409,3466.1282
55,1,1444157410,3464.8362
56,1,1444157411,3465.435
57,1,1444157413,3464.6301
58,1,1444157414,3464.7827
59,1,1444157416,3464.2036
60,1,1444157417,3465.05
61,1,1444157419,3464.38
62,1,1444157420,3466.1345
63,1,1444157422,3465.9385
64,1,1444157423,3464.7065
65,1,1444157425,3454.2185
66,1,1444157426,3456.3079
67,1,1444157427,3464.6616
68,1,1444157429,3465.6897
69,1,1444157430,3465.0264
70,1,1444157432,3465.3264
71,1,1444157433,3466.0273
