cms_omds_lb.CMS_BEAM_COND.CMS_BRIL_LUMIPLTZ.LUMI_TOTINST,,,
55241,,,
ROW,WEIGHT,DIPTIME,LUMI_TOTINST
1,1,1467987232,8694.943
2,1,1467987233,8697.567
3,1,1467987235,8698.6875
4,1,1467987236,8698.135
5,1,1467987238,8702.436
6,1,1467987239,8705.894
7,1,1467987241,8851.628
8,1,1467987242,8734.494
9,1,1467987243,8715.715
10,1,1467987245,8722.144
11,1,1467987246,8716.377
12,1,1467987248,8716.345
13,1,1467987249,8716.092
14,1,1467987251,8723.223
15,1,1467987252,8720.979
16,1,1467987254,8721.271
17,1,1467987255,8714.243
18,1,1467987257,8322.543
19,1,1467987258,7507.6196
20,1,1467987259,7415.693
21,1,1467987261,7423.455
22,1,1467987262,7428.52
23,1,1467987264,7421.5596
24,1,1467987265,7427.2734
25,1,1467987267,7427.3438
26,1,1467987268,7423.709
27,1,1467987270,7425.8267
28,1,1467987271,7467.064
29,1,1467987273,8270.337
30,1,1467987274,8832.558
31,1,1467987275,8687.925
32,1,1467987277,8689.534
33,1,1467987278,8671.401
34,1,1467987280,8686.475
35,1,1467987281,8688.184
36,1,1467987283,8693.321
37,1,1467987284,8687.307
38,1,1467987286,8682.602
39,1,1467987287,8683.7
40,1,1467987289,8687.124
41,1,1467987290,8685.332
42,1,1467987292,8686.97
43,1,1467987293,8686.974
44,1,1467987294,8688.497
45,1,1467987296,8717.993
46,1,1467987297,8962.322
47,1,1467987299,9033.721
48,1,1467987300,9031.931
49,1,1467987302,9032.1
50,1,1467987303,9034.633
51,1,1467987305,9035.316
52,1,1467987306,9033.248
53,1,1467987308,9030.294
54,1,1467987309,9031.806
55,1,1467987310,9032.072
56,1,1467987312,9031.867
57,1,1467987313,9029.875
58,1,1467987315,9028.333
59,1,1467987316,9030.263
60,1,1467987318,9030.31
61,1,1467987319,9030.429
62,1,1467987321,9031.076
63,1,1467987322,9031.27
64,1,1467987324,9020.891
65,1,1467987325,9019.634
66,1,1467987326,9012.572
67,1,1467987328,9018.58
68,1,1467987329,9020.437
69,1,1467987331,9021.537
70,1,1467987332,9020.842
71,1,1467987334,9020.981
72,1,1467987335,9022.546
73,1,1467987337,9020.995
74,1,1467987338,9021.657
75,1,1467987340,9024.518
76,1,1467987341,9022.764
77,1,1467987343,9022.055
78,1,1467987344,9020.978
79,1,1467987345,9024.758
80,1,1467987347,9020.731
81,1,1467987348,9028.071
82,1,1467987350,9027.504
83,1,1467987351,9026.078
84,1,1467987353,9032.399
85,1,1467987354,9032.045
86,1,1467987356,8942.953
87,1,1467987357,8733.656
88,1,1467987359,8712.344
89,1,1467987360,8710.967
90,1,1467987361,8692.164
91,1,1467987363,8701.5205
92,1,1467987364,8708.656
93,1,1467987366,8715.322
94,1,1467987367,8704.456
95,1,1467987369,8709.8545
96,1,1467987370,8729.067
97,1,1467987372,8926.945
98,1,1467987373,9021.621
99,1,1467987375,9024.003
100,1,1467987376,9022.798
101,1,1467987377,9023.23
102,1,1467987379,9024.782
103,1,1467987380,9021.697
104,1,1467987382,9022.034
105,1,1467987383,9022.847
106,1,1467987385,8992.55
107,1,1467987386,8776.324
108,1,1467987388,8691.497
109,1,1467987389,8693.405
110,1,1467987391,8697.962
111,1,1467987392,8691.938
112,1,1467987393,8701.539
113,1,1467987395,8696
114,1,1467987396,8695.731
115,1,1467987398,8689.136
116,1,1467987399,8693.121
117,1,1467987401,8812.489
118,1,1467987402,9003.034
119,1,1467987404,9013.199
120,1,1467987405,9017.021
121,1,1467987407,9016.81
122,1,1467987408,9016.562
123,1,1467987410,9017.788
124,1,1467987411,9014.761
125,1,1467987412,9014.665
126,1,1467987414,8998.1
127,1,1467987415,8614.02
128,1,1467987417,8232.056
129,1,1467987418,8228.89
130,1,1467987420,8228.259
131,1,1467987421,8227.823
132,1,1467987423,8224.746
133,1,1467987424,8222.352
134,1,1467987426,8223.716
135,1,1467987427,8220.916
136,1,1467987428,8219.521
137,1,1467987430,8301.161
138,1,1467987431,8842.88
139,1,1467987433,9012.869
140,1,1467987434,9012.731
141,1,1467987436,9011.475
142,1,1467987437,9008.437
143,1,1467987439,9007.818
144,1,1467987440,9009.537
145,1,1467987442,9010.349
146,1,1467987443,9008.723
147,1,1467987444,8914.23
148,1,1467987446,8455.797
149,1,1467987447,8390.57
150,1,1467987449,8386.914
151,1,1467987450,8393.454
152,1,1467987452,8393.903
153,1,1467987453,8395.687
154,1,1467987455,8397.746
155,1,1467987456,8397.56
156,1,1467987458,8397.346
157,1,1467987459,8428.486
158,1,1467987461,8840.651
159,1,1467987462,8997.662
160,1,1467987463,9000.174
161,1,1467987465,9005.343
162,1,1467987466,9001.876
163,1,1467987468,9001.905
164,1,1467987469,9005.37
165,1,1467987471,9005.525
166,1,1467987472,9003.094
167,1,1467987474,9003.046
168,1,1467987475,9003.442
169,1,1467987477,9003.009
170,1,1467987478,9001.127
171,1,1467987479,9001.768
172,1,1467987481,9000.3545
173,1,1467987482,9000.787
174,1,1467987484,8998.808
175,1,1467987485,8996.187
176,1,1467987487,8999.925
177,1,1467987488,8999.013
178,1,1467987490,8998.934
179,1,1467987491,8998.573
180,1,1467987493,8997.582
181,1,1467987494,8998.245
182,1,1467987495,8988.936
183,1,1467987497,8979.922
184,1,1467987498,8972.158
185,1,1467987500,8976.748
186,1,1467987501,8987.004
187,1,1467987503,8991.2705
188,1,1467987504,8989.88
189,1,1467987506,8989.296
190,1,1467987507,8990.75
191,1,1467987509,8990.745
192,1,1467987510,8991.69
193,1,1467987512,8990.209
194,1,1467987513,8990.579
195,1,1467987514,8989.84
196,1,1467987516,8991.991
197,1,1467987517,8989.282
198,1,1467987519,8989.725
199,1,1467987520,8988.554
200,1,1467987522,8988.144
201,1,1467987523,8987.829
202,1,1467987525,8988.058
203,1,1467987526,8989.534
204,1,1467987528,8989.355
205,1,1467987529,8988.831
206,1,1467987530,8987.956
207,1,1467987532,8988.616
208,1,1467987533,8991.468
209,1,1467987535,8993.932
210,1,1467987536,8991.765
211,1,1467987538,8989.911
212,1,1467987539,8992.017
213,1,1467987541,8987.005
214,1,1467987542,8988.28
215,1,1467987544,8989.931
216,1,1467987545,8987.96
217,1,1467987546,8986.694
218,1,1467987548,8987.862
219,1,1467987549,8987.926
220,1,1467987551,8987.445
221,1,1467987552,8985.718
222,1,1467987554,8987.816
223,1,1467987555,8987.828
224,1,1467987557,8988.671
225,1,1467987558,8987.6455
226,1,1467987560,8990.965
227,1,1467987561,8987.751
228,1,1467987563,8987.532
229,1,1467987564,8988.183
230,1,1467987565,8987.416
231,1,1467987567,8986.573
232,1,1467987568,8988.307
233,1,1467987570,8988.296
234,1,1467987571,8988.765
235,1,1467987573,8986.794
236,1,1467987574,8986.091
237,1,1467987576,8985.787
238,1,1467987577,8984.307
239,1,1467987579,8985.953
240,1,1467987580,8982.581
241,1,1467987581,8987.776
242,1,1467987583,8986.04
243,1,1467987584,8985.787
244,1,1467987586,8985.323
245,1,1467987587,8985.145
246,1,1467987589,8982.818
247,1,1467987590,8983.372
248,1,1467987592,8983.216
249,1,1467987593,8981.577
250,1,1467987595,8982.664
251,1,1467987596,8982.127
252,1,1467987597,8978.197
253,1,1467987599,8982.289
254,1,1467987600,8980.103
255,1,1467987602,8979.993
256,1,1467987603,8981.893
257,1,1467987605,8981.57
258,1,1467987606,8980.802
259,1,1467987608,8977.863
260,1,1467987609,8977.928
261,1,1467987611,8980.889
262,1,1467987612,8978.33
263,1,1467987613,8979.225
264,1,1467987615,8978.647
265,1,1467987616,8975.58
266,1,1467987618,8976.49
267,1,1467987619,8976.855
268,1,1467987621,8974.508
269,1,1467987622,8974.382
270,1,1467987624,8976.187
271,1,1467987625,8973.381
272,1,1467987627,8973.765
273,1,1467987628,8975.738
274,1,1467987630,8975.494
275,1,1467987631,8973.803
276,1,1467987632,8973.672
277,1,1467987634,8974.557
278,1,1467987635,8972.538
279,1,1467987637,8968.833
280,1,1467987638,8972.077
281,1,1467987640,8972.793
282,1,1467987641,8974.235
283,1,1467987643,8973.243
284,1,1467987644,8972.665
285,1,1467987646,8970.013
286,1,1467987647,8968.165
287,1,1467987648,8968.758
288,1,1467987650,8968.046
289,1,1467987651,8967.482
290,1,1467987653,8968.921
291,1,1467987654,8966.687
292,1,1467987656,8971.656
293,1,1467987657,8968.685
294,1,1467987659,8971.154
295,1,1467987660,8969.47
296,1,1467987662,8969.471
297,1,1467987663,8969.336
