cms_omds_lb.CMS_BEAM_COND.CMS_BRIL_LUMIPLTZ.LUMI_TOTINST,,,
8903,,,
ROW,WEIGHT,DIPTIME,LUMI_TOTINST
1,1,1463549384,3224.1184
2,1,1463549385,3225.034
3,1,1463549387,3225.4207
4,1,1463549388,3225.8975
5,1,1463549390,3227.624
6,1,1463549391,3226.513
7,1,1463549393,3226.594
8,1,1463549394,3226.7415
9,1,1463549396,3228.6672
10,1,1463549397,3226.886
11,1,1463549399,3226.608
12,1,1463549400,3225.2957
13,1,1463549401,3227.1045
14,1,1463549403,3224.5112
15,1,1463549404,3227.0254
16,1,1463549406,3226.1343
17,1,1463549407,3225.0247
18,1,1463549409,3224.0022
19,1,1463549410,3224.4663
20,1,1463549412,3224.7615
21,1,1463549413,3224.0552
22,1,1463549415,3223.8328
23,1,1463549416,3223.9607
24,1,1463549417,3225.2588
25,1,1463549419,3223.126
26,1,1463549420,3223.3904
27,1,1463549422,3223.3
28,1,1463549423,3224.7227
29,1,1463549425,3224.658
30,1,1463549426,3225.0012
31,1,1463549428,3223.6628
32,1,1463549429,3223.2036
33,1,1463549431,3222.5676
34,1,1463549432,3224.2598
35,1,1463549433,3223.898
36,1,1463549435,3224.214
37,1,1463549436,3223.4954
38,1,1463549438,3223.9707
39,1,1463549439,3223.2249
40,1,1463549441,3223.5566
41,1,1463549442,3223.8054
42,1,1463549444,3224.0554
43,1,1463549445,3224.5217
44,1,1463549447,3222.8994
45,1,1463549448,3221.9465
46,1,1463549450,3223.501
47,1,1463549451,3223.7063
48,1,1463549452,3223.2422
49,1,1463549454,3221.8513
50,1,1463549455,3221.958
51,1,1463549457,3223.052
52,1,1463549458,3222.7224
53,1,1463549460,3222.4685
54,1,1463549461,3221.538
55,1,1463549463,3221.4832
56,1,1463549464,3221.8745
57,1,1463549466,3222.8303
58,1,1463549467,3223.0696
59,1,1463549468,3225.1274
60,1,1463549470,3223.6758
61,1,1463549471,3222.1704
62,1,1463549473,3221.554
63,1,1463549474,3220.1653
64,1,1463549476,3222.5571
65,1,1463549477,3222.8813
66,1,1463549479,3223.6672
67,1,1463549480,3222.525
68,1,1463549482,3221.4075
69,1,1463549483,3219.966
70,1,1463549484,3221.4375
71,1,1463549486,3221.2183
72,1,1463549487,3221.012
73,1,1463549489,3219.8806
74,1,1463549490,3220.0376
75,1,1463549492,3220.7793
76,1,1463549493,3220.4644
77,1,1463549495,3219.9983
78,1,1463549496,3220.5781
79,1,1463549498,3220.0051
80,1,1463549499,3219.4128
81,1,1463549501,3219.1777
82,1,1463549502,3220.9827
83,1,1463549503,3219.8804
84,1,1463549505,3219.111
85,1,1463549506,3219.4585
86,1,1463549508,3218.8213
87,1,1463549509,3219.7212
88,1,1463549511,3221.2761
89,1,1463549512,3220.9336
90,1,1463549514,3218.4202
91,1,1463549515,3219.9504
92,1,1463549517,3220.0996
93,1,1463549518,3219.8352
94,1,1463549519,3219.4907
95,1,1463549521,3218.9907
96,1,1463549522,3219.505
97,1,1463549524,3218.2205
98,1,1463549525,3219.613
99,1,1463549527,3219.0435
100,1,1463549528,3218.0444
101,1,1463549530,3217.4448
102,1,1463549531,3218.279
103,1,1463549533,3217.7703
104,1,1463549534,3217.6677
105,1,1463549535,3217.2502
106,1,1463549537,3217.9087
107,1,1463549538,3217.2588
108,1,1463549540,3217.9932
109,1,1463549541,3217.7349
110,1,1463549543,3216.4404
111,1,1463549544,3217.4373
112,1,1463549546,3217.8574
113,1,1463549547,3217.3936
114,1,1463549549,3216.1846
115,1,1463549550,3217.358
116,1,1463549552,3218.0935
117,1,1463549553,3217.081
118,1,1463549554,3215.7756
119,1,1463549556,3216.971
120,1,1463549557,3217.012
121,1,1463549559,3214.8716
122,1,1463549560,3217.0269
123,1,1463549562,3217.8242
124,1,1463549563,3217.1406
125,1,1463549565,3216.2405
126,1,1463549566,3215.5574
127,1,1463549568,3214.5251
128,1,1463549569,3216.679
129,1,1463549570,3214.7195
130,1,1463549572,3216.15
131,1,1463549573,3214.4973
132,1,1463549575,3215.143
133,1,1463549576,3215.0989
134,1,1463549578,3215.2402
135,1,1463549579,3215.9683
136,1,1463549581,3216.409
137,1,1463549582,3216.3308
138,1,1463549584,3214.399
139,1,1463549585,3214.3682
140,1,1463549586,3216.3254
141,1,1463549588,3212.9321
142,1,1463549589,3211.1912
143,1,1463549591,3210.5903
144,1,1463549592,3212.1758
145,1,1463549594,3211.7314
146,1,1463549595,3211.6282
147,1,1463549597,3212.1606
148,1,1463549598,3213.0754
149,1,1463549600,3212.092
150,1,1463549601,3211.7693
151,1,1463549602,3211.3738
152,1,1463549604,3212.7773
153,1,1463549605,3213.858
154,1,1463549607,3212.2744
155,1,1463549608,3213.802
156,1,1463549610,3214.5847
157,1,1463549611,3215.515
158,1,1463549613,3214.5466
159,1,1463549614,3215.043
160,1,1463549616,3214.8394
161,1,1463549617,3213.404
162,1,1463549619,3216.4482
163,1,1463549620,3215.157
164,1,1463549621,3213.3
165,1,1463549623,3213.263
166,1,1463549624,3214.3257
167,1,1463549626,3213.524
168,1,1463549627,3213.9326
169,1,1463549629,3213.7732
170,1,1463549630,3214.2178
171,1,1463549632,3213.5308
172,1,1463549633,3214.5017
173,1,1463549635,3213.7898
174,1,1463549636,3213.8662
175,1,1463549637,3214.2537
176,1,1463549639,3211.6682
177,1,1463549640,3212.0044
178,1,1463549642,3213.306
179,1,1463549643,3212.552
180,1,1463549645,3212.7053
181,1,1463549646,3211.4492
182,1,1463549648,3211.3728
183,1,1463549649,3214.1465
184,1,1463549651,3212.742
185,1,1463549652,3212.9734
186,1,1463549653,3210.7617
187,1,1463549655,3213.8508
188,1,1463549656,3213.8528
189,1,1463549658,3213.5144
190,1,1463549659,3214.3806
191,1,1463549661,3214.8735
192,1,1463549662,3215.5806
193,1,1463549664,3215.4622
194,1,1463549665,3215.2864
195,1,1463549667,3214.9614
196,1,1463549668,3215.253
197,1,1463549670,3215.7087
198,1,1463549671,3215.3843
199,1,1463549672,3215.7253
200,1,1463549674,3214.0854
201,1,1463549675,3213.2617
202,1,1463549677,3213.6895
203,1,1463549678,3211.7563
204,1,1463549680,3212.0776
205,1,1463549681,3210.4585
206,1,1463549683,3210.7207
207,1,1463549684,3208.2893
208,1,1463549686,3209.5513
209,1,1463549687,3209.7815
210,1,1463549688,3210.3174
211,1,1463549690,3208.7776
212,1,1463549691,3209.045
213,1,1463549693,3209.8906
214,1,1463549694,3208.3992
215,1,1463549696,3209.2568
216,1,1463549697,3210.7178
217,1,1463549699,3209.7825
218,1,1463549700,3210.4775
219,1,1463549702,3208.6824
220,1,1463549703,3209.0852
221,1,1463549704,3208.8577
222,1,1463549706,3208.655
223,1,1463549707,3211.4253
224,1,1463549709,3209.6074
225,1,1463549710,3209.5327
226,1,1463549712,3209.5562
227,1,1463549713,3208.29
228,1,1463549715,3210.9175
229,1,1463549716,3209.114
230,1,1463549718,3209.2063
231,1,1463549719,3209.4832
232,1,1463549721,3209.3748
233,1,1463549722,3209.409
234,1,1463549723,3208.2896
235,1,1463549725,3207.8708
236,1,1463549726,3208.5156
237,1,1463549728,3208.42
238,1,1463549729,3207.764
239,1,1463549731,3209.435
240,1,1463549732,3210.669
241,1,1463549734,3209.4534
242,1,1463549735,3208.5637
243,1,1463549737,3209.3384
244,1,1463549738,3210.2507
245,1,1463549739,3207.941
246,1,1463549741,3209.2727
247,1,1463549742,3208.4722
248,1,1463549744,3209.4521
249,1,1463549745,3208.8508
250,1,1463549747,3207.5771
251,1,1463549748,3208.8906
252,1,1463549750,3208.2957
253,1,1463549751,3209.167
254,1,1463549753,3209.2168
255,1,1463549754,3208.8813
256,1,1463549755,3208.07
257,1,1463549757,3208.009
258,1,1463549758,3206.8547
259,1,1463549760,3207.728
260,1,1463549761,3207.0193
261,1,1463549763,3208.0952
262,1,1463549764,3207.533
263,1,1463549766,3207.4995
264,1,1463549767,3207.3647
265,1,1463549769,3207.9768
266,1,1463549770,3207.9143
267,1,1463549772,3208.0374
268,1,1463549773,3209.9976
269,1,1463549774,3214.6023
270,1,1463549776,3213.8835
271,1,1463549777,3210.8267
272,1,1463549779,3209.712
273,1,1463549780,3208.2007
274,1,1463549782,3208.3328
275,1,1463549783,3209.035
276,1,1463549785,3211.118
277,1,1463549786,3209.7651
278,1,1463549788,3208.9226
279,1,1463549789,3208.5352
280,1,1463549790,3208.3848
281,1,1463549792,3208.5261
282,1,1463549793,3206.316
283,1,1463549795,3205.3835
284,1,1463549796,3201.884
285,1,1463549798,3198.0142
286,1,1463549799,3195.2483
287,1,1463549801,3195.946
288,1,1463549802,3195.189
289,1,1463549804,3192.4421
290,1,1463549805,3193.7664
291,1,1463549806,3195.2156
292,1,1463549808,3196.938
293,1,1463549809,3196.0823
294,1,1463549811,3198.559
295,1,1463549812,3197.2969
296,1,1463549814,3200.6802
297,1,1463549815,3199.1404
298,1,1463549817,3201.485
299,1,1463549818,3207.8518
300,1,1463549820,3207.7126
301,1,1463549821,3208.789
302,1,1463549822,3206.5457
303,1,1463549824,3209.372
304,1,1463549825,3208.2844
305,1,1463549827,3208.1587
306,1,1463549828,3207.7466
307,1,1463549830,3206.2407
308,1,1463549831,3204.7979
309,1,1463549833,3204.814
310,1,1463549834,3203.2185
311,1,1463549836,3204.426
312,1,1463549837,3204.64
313,1,1463549839,3203.9146
314,1,1463549840,3202.1174
315,1,1463549841,3202.9724
316,1,1463549843,3202.2673
317,1,1463549844,3203.9126
318,1,1463549846,3203.5435
319,1,1463549847,3203.1077
320,1,1463549849,3204.0425
321,1,1463549850,3204.5322
322,1,1463549852,3203.178
323,1,1463549853,3202.9148
324,1,1463549855,3203.4346
325,1,1463549856,3203.7468
326,1,1463549857,3201.209
327,1,1463549859,3201.8958
328,1,1463549860,3203.322
329,1,1463549862,3202.4575
330,1,1463549863,3201.8267
331,1,1463549865,3201.0498
332,1,1463549866,3200.9443
333,1,1463549868,3202.205
334,1,1463549869,3203.1875
335,1,1463549871,3202.5896
336,1,1463549872,3201.2744
337,1,1463549873,3202.0107
338,1,1463549875,3201.5327
339,1,1463549876,3202.818
340,1,1463549878,3203.819
341,1,1463549879,3204.3318
342,1,1463549881,3205.1233
343,1,1463549882,3205.3938
344,1,1463549884,3205.452
345,1,1463549885,3206.8052
346,1,1463549887,3206.6716
347,1,1463549888,3205.023
348,1,1463549890,3204.4304
349,1,1463549891,3205.26
350,1,1463549892,3204.375
351,1,1463549894,3204.3662
352,1,1463549895,3203.506
353,1,1463549897,3203.4424
354,1,1463549898,3203.8354
355,1,1463549900,3203.6375
356,1,1463549901,3202.085
357,1,1463549903,3200.9885
358,1,1463549904,3200.9224
359,1,1463549906,3200.0479
360,1,1463549907,3201.2756
361,1,1463549908,3200.509
362,1,1463549910,3200.749
363,1,1463549911,3200.1182
364,1,1463549913,3199.256
365,1,1463549914,3200.5266
366,1,1463549916,3199.1968
367,1,1463549917,3201.7852
368,1,1463549919,3200.9253
369,1,1463549920,3201.5762
370,1,1463549922,3202.0208
371,1,1463549923,3201.6523
372,1,1463549924,3201.5166
373,1,1463549926,3202.2805
374,1,1463549927,3201.997
375,1,1463549929,3201.7664
376,1,1463549930,3201.5557
377,1,1463549932,3202.7021
378,1,1463549933,3201.2332
379,1,1463549935,3201.1228
380,1,1463549936,3202.622
381,1,1463549938,3201.5823
382,1,1463549939,3202.0522
383,1,1463549941,3201.3652
384,1,1463549942,3202.0369
385,1,1463549943,3201.9526
386,1,1463549945,3201.4683
387,1,1463549946,3201.5786
388,1,1463549948,3201.7368
389,1,1463549949,3201.626
390,1,1463549951,3200.0254
391,1,1463549952,3202.8245
392,1,1463549954,3201.4875
393,1,1463549955,3202.1138
394,1,1463549957,3201.109
395,1,1463549958,3201.0015
396,1,1463549959,3201.604
397,1,1463549961,3201.9414
398,1,1463549962,3201.3276
399,1,1463549964,3198.227
400,1,1463549965,3197.0505
401,1,1463549967,3195.51
402,1,1463549968,3197.2737
403,1,1463549970,3197.7476
404,1,1463549971,3194.5923
405,1,1463549973,3195.771
406,1,1463549974,3196.9011
407,1,1463549975,3197.5466
408,1,1463549977,3197.6562
409,1,1463549978,3199.3997
410,1,1463549980,3197.6821
411,1,1463549981,3198.115
412,1,1463549983,3196.7925
413,1,1463549984,3198.117
414,1,1463549986,3199.978
415,1,1463549987,3201.7283
416,1,1463549989,3198.9346
417,1,1463549990,3200.2136
418,1,1463549992,3200.2488
419,1,1463549993,3199.6445
420,1,1463549994,3201.348
421,1,1463549996,3200.2668
422,1,1463549997,3200.682
423,1,1463549999,3200.1016
424,1,1463550000,3201.7603
425,1,1463550002,3200.0952
426,1,1463550003,3199.384
427,1,1463550005,3200.492
428,1,1463550006,3201.5042
429,1,1463550008,3199.6736
430,1,1463550009,3200.8525
431,1,1463550010,3200.1807
432,1,1463550012,3200.5574
433,1,1463550013,3200.77
434,1,1463550015,3200.5417
435,1,1463550016,3200.7498
436,1,1463550018,3202.1614
437,1,1463550019,3201.0154
438,1,1463550021,3199.8062
439,1,1463550022,3201.5356
440,1,1463550024,3200.144
441,1,1463550025,3199.8018
442,1,1463550026,3200.831
443,1,1463550028,3201.5217
444,1,1463550029,3201.2783
445,1,1463550031,3201.2275
446,1,1463550032,3200.4563
447,1,1463550034,3201.2083
448,1,1463550035,3200.7314
449,1,1463550037,3202.0615
450,1,1463550038,3201.8113
451,1,1463550040,3200.6646
452,1,1463550041,3200.4062
453,1,1463550043,3200.252
454,1,1463550044,3199.4165
455,1,1463550045,3200.1445
456,1,1463550047,3199.8467
457,1,1463550048,3198.9841
458,1,1463550050,3199.9497
459,1,1463550051,3199.7048
460,1,1463550053,3199.7573
461,1,1463550054,3199.4448
462,1,1463550056,3201.1387
463,1,1463550057,3198.6619
464,1,1463550059,3199.6147
465,1,1463550060,3198.7664
466,1,1463550061,3199.2014
467,1,1463550063,3199.0925
468,1,1463550064,3200.9646
469,1,1463550066,3202.1382
470,1,1463550067,3200.883
471,1,1463550069,3201.8938
472,1,1463550070,3201.663
473,1,1463550072,3201.9744
474,1,1463550073,3202.646
475,1,1463550075,3202.9048
476,1,1463550076,3202.0432
477,1,1463550077,3204.1577
478,1,1463550079,3202.021
479,1,1463550080,3202.209
480,1,1463550082,3203.1519
481,1,1463550083,3200.7688
482,1,1463550085,3200.671
483,1,1463550086,3199.8257
484,1,1463550088,3198.6375
485,1,1463550089,3199.47
486,1,1463550091,3199.382
487,1,1463550092,3200.4617
488,1,1463550093,3200.2852
489,1,1463550095,3198.7925
490,1,1463550096,3198.1082
491,1,1463550098,3197.1914
492,1,1463550099,3197.0688
493,1,1463550101,3197.932
494,1,1463550102,3198.3325
495,1,1463550104,3197.9514
496,1,1463550105,3196.7507
497,1,1463550107,3196.305
498,1,1463550108,3195.5037
499,1,1463550110,3197.7117
500,1,1463550111,3197.1362
501,1,1463550112,3195.7185
502,1,1463550114,3196.648
503,1,1463550115,3195.7751
504,1,1463550117,3196.0706
505,1,1463550118,3195.8665
506,1,1463550120,3195.782
507,1,1463550121,3197.1611
508,1,1463550123,3195.881
509,1,1463550124,3196.142
510,1,1463550126,3197.386
511,1,1463550127,3196.9631
