cms_omds_lb.CMS_BEAM_COND.CMS_BRIL_LUMIPLTZ.LUMI_TOTINST,,,
18987,,,
ROW,WEIGHT,DIPTIME,LUMI_TOTINST
1,1,1462712062,953.0149
2,1,1462712063,952.50903
3,1,1462712065,951.92926
4,1,1462712066,951.97614
5,1,1462712068,951.91254
6,1,1462712069,952.3258
7,1,1462712071,951.7826
8,1,1462712072,951.9002
9,1,1462712073,952.485
10,1,1462712075,952.20233
11,1,1462712076,952.1858
12,1,1462712078,952.1397
13,1,1462712079,952.0063
14,1,1462712081,951.70917
15,1,1462712082,951.996
16,1,1462712084,951.78314
17,1,1462712085,951.29944
18,1,1462712087,951.51263
19,1,1462712088,951.6025
20,1,1462712089,951.6237
21,1,1462712091,951.6038
22,1,1462712092,951.90076
23,1,1462712094,952.29333
24,1,1462712095,951.4264
25,1,1462712097,952.0747
26,1,1462712098,951.7209
27,1,1462712100,952.1567
28,1,1462712101,951.77686
29,1,1462712103,951.76337
30,1,1462712104,951.384
31,1,1462712106,951.3634
32,1,1462712107,951.81744
33,1,1462712108,952.0602
34,1,1462712110,951.8688
35,1,1462712111,952.1865
36,1,1462712113,951.8337
37,1,1462712114,951.68146
38,1,1462712116,951.43036
39,1,1462712117,951.41406
40,1,1462712119,951.178
41,1,1462712120,951.7032
42,1,1462712122,951.40753
43,1,1462712123,951.2254
44,1,1462712124,951.54474
45,1,1462712126,950.9297
46,1,1462712127,951.5321
47,1,1462712129,952.3398
48,1,1462712130,951.6732
49,1,1462712132,951.5693
50,1,1462712133,951.8005
51,1,1462712135,952.2872
52,1,1462712136,952.10065
53,1,1462712138,951.51447
54,1,1462712139,951.5593
55,1,1462712140,951.27844
56,1,1462712142,951.61255
57,1,1462712143,951.4877
58,1,1462712145,951.2974
59,1,1462712146,951.332
60,1,1462712148,951.71497
61,1,1462712149,951.20917
62,1,1462712151,950.908
63,1,1462712152,951.57166
64,1,1462712154,951.49817
65,1,1462712155,950.9965
66,1,1462712157,950.9234
67,1,1462712158,950.2722
68,1,1462712159,949.3865
69,1,1462712161,949.3377
70,1,1462712162,948.93353
71,1,1462712164,948.21747
72,1,1462712165,948.17523
73,1,1462712167,948.1126
74,1,1462712168,948.3825
75,1,1462712170,948.4976
76,1,1462712171,948.5976
77,1,1462712173,949.23
78,1,1462712174,948.92285
79,1,1462712175,949.38214
80,1,1462712177,949.40247
81,1,1462712178,949.407
82,1,1462712180,950.55304
83,1,1462712181,951.3171
84,1,1462712183,951.4952
85,1,1462712184,951.022
86,1,1462712186,951.3345
87,1,1462712187,951.2082
88,1,1462712189,951.28876
89,1,1462712190,951.2528
90,1,1462712191,950.6607
91,1,1462712193,950.64294
92,1,1462712194,950.7001
93,1,1462712196,951.21686
94,1,1462712197,950.96173
95,1,1462712199,950.4577
96,1,1462712200,950.2764
97,1,1462712202,950.146
98,1,1462712203,950.3328
99,1,1462712205,949.3449
100,1,1462712206,950.19354
101,1,1462712208,950.3884
102,1,1462712209,950.30524
103,1,1462712210,951.07825
104,1,1462712212,950.4278
105,1,1462712213,950.5635
106,1,1462712215,950.95636
107,1,1462712216,950.63135
108,1,1462712218,951.1138
109,1,1462712219,952.14667
110,1,1462712221,951.53235
111,1,1462712222,951.3837
112,1,1462712224,950.95703
113,1,1462712225,950.4635
114,1,1462712226,951.04016
115,1,1462712228,950.5367
116,1,1462712229,950.327
117,1,1462712231,949.5526
118,1,1462712232,950.1065
119,1,1462712234,950.117
120,1,1462712235,949.77954
121,1,1462712237,949.299
122,1,1462712238,949.29706
123,1,1462712240,949.79895
124,1,1462712241,949.00885
125,1,1462712242,949.50653
126,1,1462712244,949.2287
127,1,1462712245,948.75165
128,1,1462712247,949.44556
129,1,1462712248,948.92267
130,1,1462712250,949.6883
131,1,1462712251,948.4512
132,1,1462712253,948.8064
133,1,1462712254,948.71405
134,1,1462712256,949.59937
