#Data tag : 19v3 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
274954:5005,35:35,1465638005,STABLE BEAMS,6500,2473.870665676,2373.771873283,29.9,HFOC
274954:5005,36:36,1465638028,STABLE BEAMS,6500,2473.497951951,1301.186844547,29.9,HFOC
274954:5005,37:37,1465638051,STABLE BEAMS,6500,2475.521047953,300.001784408,29.9,HFOC
274954:5005,38:38,1465638075,STABLE BEAMS,6500,2473.365947169,0,29.9,HFOC
274954:5005,39:39,1465638098,STABLE BEAMS,6500,2472.268504826,1340.120930056,29.9,HFOC
274954:5005,40:40,1465638121,STABLE BEAMS,6500,2471.569741685,2258.427880852,29.9,HFOC
274954:5005,41:41,1465638145,STABLE BEAMS,6500,2470.338508921,2240.837268563,29.8,HFOC
274954:5005,42:42,1465638168,STABLE BEAMS,6500,2469.145571732,2210.629730319,29.8,HFOC
274954:5005,43:43,1465638191,STABLE BEAMS,6500,2467.892947642,2223.909155177,29.8,HFOC
274954:5005,44:44,1465638215,STABLE BEAMS,6500,2463.216205614,2219.214452054,29.7,HFOC
274954:5005,45:45,1465638238,STABLE BEAMS,6500,2463.651605925,2217.431267620,29.8,HFOC
274954:5005,46:46,1465638261,STABLE BEAMS,6500,2449.169960024,2197.070942587,29.6,HFOC
274954:5005,47:47,1465638285,STABLE BEAMS,6500,2439.222596467,2220.135826938,29.5,HFOC
274954:5005,48:48,1465638308,STABLE BEAMS,6500,2441.307798184,2219.385015687,29.5,HFOC
274954:5005,49:49,1465638331,STABLE BEAMS,6500,2449.228581913,2231.535190528,29.6,HFOC
274954:5005,50:50,1465638354,STABLE BEAMS,6500,2452.769136456,2234.686034930,29.6,HFOC
274954:5005,51:51,1465638378,STABLE BEAMS,6500,2449.378575234,2199.946552046,29.6,HFOC
274954:5005,52:52,1465638401,STABLE BEAMS,6500,2443.173122853,2206.753003522,29.5,HFOC
274954:5005,53:53,1465638424,STABLE BEAMS,6500,2432.948632514,2214.990394459,29.4,HFOC
274954:5005,54:54,1465638448,STABLE BEAMS,6500,2439.452286892,2186.117457950,29.5,HFOC
274954:5005,55:55,1465638471,STABLE BEAMS,6500,2446.261483791,2158.068284774,29.5,HFOC
274954:5005,56:56,1465638494,STABLE BEAMS,6500,2444.273846224,2219.216226512,29.5,HFOC
274954:5005,57:57,1465638518,STABLE BEAMS,6500,2436.478033108,1543.683636569,29.4,HFOC
274954:5005,58:0,1465638541,STABLE BEAMS,6500,2421.772854665,0,29.2,HFOC
274954:5005,59:0,1465638564,STABLE BEAMS,6500,1955.941917467,0,23.6,HFOC
274954:5005,60:0,1465638588,STABLE BEAMS,6500,1214.824582586,0,14.7,HFOC
274954:5005,61:0,1465638611,STABLE BEAMS,6500,2055.972388082,0,24.8,HFOC
274954:5005,62:0,1465638634,STABLE BEAMS,6500,2382.132686000,0,28.8,HFOC
274954:5005,63:0,1465638657,STABLE BEAMS,6500,1925.865313491,0,23.3,HFOC
274954:5005,64:0,1465638681,STABLE BEAMS,6500,1212.764725695,0,14.6,HFOC
274954:5005,65:0,1465638704,STABLE BEAMS,6500,1471.011903002,0,17.8,HFOC
274955:5005,1:1,1465638727,STABLE BEAMS,6500,748.411862752,737.593163661,9.0,HFOC
274955:5005,2:2,1465638751,STABLE BEAMS,6500,1834.738580174,1784.734498154,22.2,HFOC
274955:5005,3:3,1465638774,STABLE BEAMS,6500,2314.689400253,2228.136469627,28.0,HFOC
274955:5005,4:4,1465638797,STABLE BEAMS,6500,1539.705186980,1505.278017377,18.6,HFOC
274955:5005,5:5,1465638821,STABLE BEAMS,6500,728.438726963,717.822457118,8.8,HFOC
274955:5005,6:6,1465638844,STABLE BEAMS,6500,2016.838313466,1956.595462517,24.4,HFOC
274955:5005,7:7,1465638867,STABLE BEAMS,6500,2341.516548751,2257.304143119,28.3,HFOC
274955:5005,8:8,1465638890,STABLE BEAMS,6500,2398.063423104,2307.179631471,29.0,HFOC
274955:5005,9:9,1465638914,STABLE BEAMS,6500,2414.492613938,2321.968750336,29.2,HFOC
274955:5005,10:10,1465638937,STABLE BEAMS,6500,2429.912708551,2330.266189020,29.3,HFOC
274955:5005,11:11,1465638960,STABLE BEAMS,6500,2424.792171997,2328.298407329,29.3,HFOC
274955:5005,12:12,1465638984,STABLE BEAMS,6500,2426.963823233,2333.106162221,29.3,HFOC
274955:5005,13:13,1465639007,STABLE BEAMS,6500,2423.933675185,2281.797628050,29.3,HFOC
274955:5005,14:14,1465639030,STABLE BEAMS,6500,2429.710283574,2335.575609585,29.3,HFOC
274955:5005,15:15,1465639054,STABLE BEAMS,6500,2430.702171928,2336.598159236,29.4,HFOC
274955:5005,16:16,1465639077,STABLE BEAMS,6500,2425.501161601,2331.579448410,29.3,HFOC
274955:5005,17:17,1465639100,STABLE BEAMS,6500,2422.542640545,2326.499806346,29.3,HFOC
274955:5005,18:18,1465639124,STABLE BEAMS,6500,2417.419935563,2324.640509362,29.2,HFOC
274955:5005,19:19,1465639147,STABLE BEAMS,6500,2417.441661854,2324.865092097,29.2,HFOC
274955:5005,20:20,1465639170,STABLE BEAMS,6500,2413.431245121,2318.325169166,29.1,HFOC
