#Data tag : 19v3 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
277166:5109,75:75,1469210976,STABLE BEAMS,6500,10017.053098929,9647.827317008,34.5,HFOC
277166:5109,76:76,1469211000,STABLE BEAMS,6500,10012.858706900,5480.682535946,34.5,HFOC
277166:5109,77:77,1469211023,STABLE BEAMS,6500,10009.443286718,1808.172477623,34.5,HFOC
277166:5109,78:78,1469211046,STABLE BEAMS,6500,10004.017125802,1642.686524108,34.5,HFOC
277166:5109,79:79,1469211070,STABLE BEAMS,6500,9998.396705556,9169.491079356,34.5,HFOC
277166:5109,80:80,1469211093,STABLE BEAMS,6500,9038.575543460,8471.647794744,31.2,HFOC
277166:5109,81:81,1469211116,STABLE BEAMS,6500,3394.201180593,3350.912826007,11.7,HFOC
277166:5109,82:82,1469211140,STABLE BEAMS,6500,7123.578299506,6999.311178832,24.6,HFOC
277166:5109,83:83,1469211163,STABLE BEAMS,6500,9661.873799918,9316.989780939,33.3,HFOC
277166:5109,84:84,1469211186,STABLE BEAMS,6500,7745.897629799,7599.978494810,26.7,HFOC
277166:5109,85:85,1469211210,STABLE BEAMS,6500,3857.188497306,3805.201839897,13.3,HFOC
277166:5109,86:86,1469211233,STABLE BEAMS,6500,5196.325476138,5115.456350081,17.9,HFOC
277166:5109,87:87,1469211256,STABLE BEAMS,6500,988.805528480,978.410990245,3.4,HFOC
277166:5109,88:88,1469211280,STABLE BEAMS,6500,4365.377028664,4304.784898330,15.0,HFOC
277166:5109,89:89,1469211303,STABLE BEAMS,6500,9216.413969848,9020.719621607,31.8,HFOC
277166:5109,90:90,1469211326,STABLE BEAMS,6500,5734.629836482,5642.998454055,19.8,HFOC
277166:5109,91:91,1469211349,STABLE BEAMS,6500,1485.600362517,1469.115316671,5.1,HFOC
277166:5109,92:92,1469211373,STABLE BEAMS,6500,7027.257007822,6900.760981251,24.2,HFOC
277166:5109,93:93,1469211396,STABLE BEAMS,6500,9895.707110719,9673.153336304,34.1,HFOC
277166:5109,94:94,1469211419,STABLE BEAMS,6500,9891.935499305,9669.385551144,34.1,HFOC
277166:5109,95:95,1469211443,STABLE BEAMS,6500,9887.221121062,9665.059284474,34.1,HFOC
