#Data tag : 19v3 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
278406:5183,83:83,1470676504,STABLE BEAMS,6500,11347.089670992,10690.613913867,37.4,PLTZERO
278406:5183,84:84,1470676527,STABLE BEAMS,6500,11339.520299263,7443.481746201,37.3,PLTZERO
278406:5183,85:85,1470676550,STABLE BEAMS,6500,11309.614225461,1074.862629278,37.2,PLTZERO
278406:5183,86:86,1470676574,STABLE BEAMS,6500,11325.160373227,6131.100771196,37.3,PLTZERO
278406:5183,87:87,1470676597,STABLE BEAMS,6500,11316.626307938,10964.306647503,37.3,PLTZERO
278406:5183,88:88,1470676620,STABLE BEAMS,6500,11309.513512034,10710.303780690,37.2,PLTZERO
278406:5183,89:89,1470676644,STABLE BEAMS,6500,11311.324249949,10877.693224108,37.3,PLTZERO
278406:5183,90:90,1470676667,STABLE BEAMS,6500,11291.114863399,10919.991289171,37.2,PLTZERO
278406:5183,91:91,1470676690,STABLE BEAMS,6500,11282.609128244,10942.491989431,37.2,PLTZERO
278406:5183,92:92,1470676714,STABLE BEAMS,6500,11272.986746894,10733.574061010,37.1,PLTZERO
278406:5183,93:93,1470676737,STABLE BEAMS,6500,11269.716257359,10845.061214952,37.1,PLTZERO
278406:5183,94:94,1470676760,STABLE BEAMS,6500,11263.419643288,10796.896001391,37.1,PLTZERO
278406:5183,95:95,1470676784,STABLE BEAMS,6500,11256.286595747,6828.103217773,37.1,PLTZERO
278406:5183,96:96,1470676807,STABLE BEAMS,6500,11251.167015385,6295.941095959,37.1,PLTZERO
278406:5183,97:97,1470676830,STABLE BEAMS,6500,11242.360990302,10805.509094110,37.0,PLTZERO
278406:5183,98:98,1470676854,STABLE BEAMS,6500,11236.534924984,10868.199813574,37.0,PLTZERO
278406:5183,99:99,1470676877,STABLE BEAMS,6500,11226.967614006,10777.495023749,37.0,PLTZERO
278406:5183,100:100,1470676900,STABLE BEAMS,6500,11199.047691920,10862.417347671,36.9,PLTZERO
278406:5183,101:101,1470676923,STABLE BEAMS,6500,11187.096594900,10852.476532425,36.8,PLTZERO
278406:5183,102:102,1470676947,STABLE BEAMS,6500,11196.258064121,10834.223700756,36.9,PLTZERO
278406:5183,103:103,1470676970,STABLE BEAMS,6500,11193.914461237,10844.412363760,36.9,PLTZERO
278406:5183,104:104,1470676993,STABLE BEAMS,6500,11187.365282456,10855.388434442,36.8,PLTZERO
278406:5183,105:105,1470677017,STABLE BEAMS,6500,11154.950870470,10753.308993501,36.7,PLTZERO
278406:5183,106:106,1470677040,STABLE BEAMS,6500,11149.243686482,10817.770778270,36.7,PLTZERO
278406:5183,107:107,1470677063,STABLE BEAMS,6500,8553.366625680,8321.676444157,28.2,PLTZERO
278406:5183,108:108,1470677087,STABLE BEAMS,6500,4189.363140351,4127.388513363,13.8,PLTZERO
278406:5183,109:109,1470677110,STABLE BEAMS,6500,8443.586257986,8260.168511368,27.8,PLTZERO
278406:5183,110:110,1470677133,STABLE BEAMS,6500,10812.414172267,10506.315281268,35.6,PLTZERO
278406:5183,111:111,1470677156,STABLE BEAMS,6500,7933.015025083,7765.473037886,26.1,PLTZERO
278406:5183,112:112,1470677180,STABLE BEAMS,6500,3656.402350391,3603.987356334,12.0,PLTZERO
278406:5183,113:113,1470677203,STABLE BEAMS,6500,5159.575566290,5053.751570116,17.0,PLTZERO
278406:5183,114:114,1470677226,STABLE BEAMS,6500,954.591821130,943.911276655,3.1,PLTZERO
278406:5183,115:115,1470677250,STABLE BEAMS,6500,5046.114411959,4965.056274304,16.6,PLTZERO
278406:5183,116:116,1470677273,STABLE BEAMS,6500,10399.481228681,10113.490169542,34.2,PLTZERO
278406:5183,117:117,1470677296,STABLE BEAMS,6500,5597.305040299,5499.508546870,18.4,PLTZERO
278406:5183,118:118,1470677320,STABLE BEAMS,6500,1142.372236442,1129.253096547,3.8,PLTZERO
278406:5183,119:119,1470677343,STABLE BEAMS,6500,9029.980682426,8647.024775345,29.7,PLTZERO
278406:5183,120:120,1470677366,STABLE BEAMS,6500,11048.045300618,10711.004700424,36.4,PLTZERO
278406:5183,121:121,1470677390,STABLE BEAMS,6500,10818.938559558,10471.224546765,35.6,PLTZERO
278406:5183,122:122,1470677413,STABLE BEAMS,6500,10752.835282280,10453.246842766,35.4,PLTZERO
278406:5183,123:123,1470677436,STABLE BEAMS,6500,10508.659281578,10208.910575761,34.6,PLTZERO
278406:5183,124:124,1470677460,STABLE BEAMS,6500,10278.833661835,9877.891594301,33.9,PLTZERO
278406:5183,125:125,1470677483,STABLE BEAMS,6500,10637.502998449,10344.738933586,35.0,PLTZERO
278406:5183,126:126,1470677506,STABLE BEAMS,6500,11089.113261169,10693.417143409,36.5,PLTZERO
278406:5183,127:127,1470677529,STABLE BEAMS,6500,11096.183410772,10771.106712265,36.5,PLTZERO
278406:5183,128:128,1470677553,STABLE BEAMS,6500,11070.551949914,10706.397580693,36.5,PLTZERO
278406:5183,129:129,1470677576,STABLE BEAMS,6500,11087.733647588,10588.644846090,36.5,PLTZERO
278406:5183,130:130,1470677599,STABLE BEAMS,6500,11095.090457615,10742.890556168,36.5,PLTZERO
278406:5183,131:131,1470677623,STABLE BEAMS,6500,11073.515039102,10748.930871845,36.5,PLTZERO
278406:5183,132:132,1470677646,STABLE BEAMS,6500,11064.974284548,10740.347200395,36.4,PLTZERO
278406:5183,133:133,1470677669,STABLE BEAMS,6500,11057.305861914,10733.218110193,36.4,PLTZERO
