#Data tag : 19v3 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
277166:5109,75:75,1469210976,STABLE BEAMS,6500,9969.310509110,9601.844505726,34.4,PLTZERO
277166:5109,76:76,1469211000,STABLE BEAMS,6500,9964.928658809,5454.447333272,34.3,PLTZERO
277166:5109,77:77,1469211023,STABLE BEAMS,6500,9961.733368670,1799.553840377,34.3,PLTZERO
277166:5109,78:78,1469211046,STABLE BEAMS,6500,9955.928065399,1634.790171025,34.3,PLTZERO
277166:5109,79:79,1469211070,STABLE BEAMS,6500,9951.783383671,9126.742181529,34.3,PLTZERO
277166:5109,80:80,1469211093,STABLE BEAMS,6500,9182.400727850,8606.451813398,31.6,PLTZERO
277166:5109,81:81,1469211116,STABLE BEAMS,6500,3257.996282239,3216.445033271,11.2,PLTZERO
277166:5109,82:82,1469211140,STABLE BEAMS,6500,6961.790273011,6840.345460364,24.0,PLTZERO
277166:5109,83:83,1469211163,STABLE BEAMS,6500,9574.190345982,9232.436219054,33.0,PLTZERO
277166:5109,84:84,1469211186,STABLE BEAMS,6500,7847.825117637,7699.985847427,27.0,PLTZERO
277166:5109,85:85,1469211210,STABLE BEAMS,6500,3905.956928522,3853.312976887,13.5,PLTZERO
277166:5109,86:86,1469211233,STABLE BEAMS,6500,5115.094194555,5035.489250809,17.6,PLTZERO
277166:5109,87:87,1469211256,STABLE BEAMS,6500,935.078787033,925.249035960,3.2,PLTZERO
277166:5109,88:88,1469211280,STABLE BEAMS,6500,4184.189638108,4126.112417691,14.4,PLTZERO
277166:5109,89:89,1469211303,STABLE BEAMS,6500,9113.676926733,8920.164018991,31.4,PLTZERO
277166:5109,90:90,1469211326,STABLE BEAMS,6500,5835.064001961,5741.827821720,20.1,PLTZERO
277166:5109,91:91,1469211349,STABLE BEAMS,6500,1523.745219453,1506.836897111,5.3,PLTZERO
277166:5109,92:92,1469211373,STABLE BEAMS,6500,6584.555239240,6466.028184718,22.7,PLTZERO
277166:5109,93:93,1469211396,STABLE BEAMS,6500,9852.922187095,9631.330642679,34.0,PLTZERO
277166:5109,94:94,1469211419,STABLE BEAMS,6500,9847.101063185,9625.559805530,33.9,PLTZERO
277166:5109,95:95,1469211443,STABLE BEAMS,6500,9842.258017506,9621.106483565,33.9,PLTZERO
277166:5109,96:96,1469211466,STABLE BEAMS,6500,9816.365457104,9585.990486599,33.8,PLTZERO
277166:5109,97:97,1469211489,STABLE BEAMS,6500,9828.671612711,9610.368595388,33.9,PLTZERO
277166:5109,98:98,1469211513,STABLE BEAMS,6500,9816.883099943,9599.149840975,33.8,PLTZERO
277166:5109,99:99,1469211536,STABLE BEAMS,6500,9824.174097499,9606.597438312,33.9,PLTZERO
277166:5109,100:100,1469211559,STABLE BEAMS,6500,9805.980656502,9589.119882281,33.8,PLTZERO
277166:5109,101:101,1469211583,STABLE BEAMS,6500,9795.822421315,9553.879484181,33.8,PLTZERO
277166:5109,102:102,1469211606,STABLE BEAMS,6500,9790.893523031,9499.019343758,33.7,PLTZERO
277166:5109,103:103,1469211629,STABLE BEAMS,6500,9784.956320077,9466.607233771,33.7,PLTZERO
277166:5109,104:104,1469211653,STABLE BEAMS,6500,9772.863351500,9466.780783924,33.7,PLTZERO
277166:5109,105:105,1469211676,STABLE BEAMS,6500,9773.934720178,9457.524479301,33.7,PLTZERO
277166:5109,106:106,1469211699,STABLE BEAMS,6500,9760.754665918,9471.645919967,33.6,PLTZERO
277166:5109,107:107,1469211722,STABLE BEAMS,6500,9755.295173921,9465.649655524,33.6,PLTZERO
277166:5109,108:108,1469211746,STABLE BEAMS,6500,9751.216475511,9462.287025415,33.6,PLTZERO
277166:5109,109:109,1469211769,STABLE BEAMS,6500,9741.290299124,9453.455682304,33.6,PLTZERO
277166:5109,110:110,1469211792,STABLE BEAMS,6500,9729.160098166,9417.767846362,33.5,PLTZERO
277166:5109,111:111,1469211816,STABLE BEAMS,6500,9745.862948625,9443.560215904,33.6,PLTZERO
277166:5109,112:112,1469211839,STABLE BEAMS,6500,9751.940649987,9425.024664877,33.6,PLTZERO
277166:5109,113:113,1469211862,STABLE BEAMS,6500,9731.404517689,9440.634951422,33.5,PLTZERO
277166:5109,114:114,1469211886,STABLE BEAMS,6500,9725.273340516,9375.060225121,33.5,PLTZERO
277166:5109,115:115,1469211909,STABLE BEAMS,6500,9723.753140126,9434.229882886,33.5,PLTZERO
277166:5109,116:116,1469211932,STABLE BEAMS,6500,9716.330886503,9426.459586002,33.5,PLTZERO
277166:5109,117:117,1469211956,STABLE BEAMS,6500,9709.692657274,9360.931043871,33.5,PLTZERO
277166:5109,118:118,1469211979,STABLE BEAMS,6500,9683.550637533,9395.190421894,33.4,PLTZERO
277166:5109,119:119,1469212002,STABLE BEAMS,6500,9694.967472959,9347.397077811,33.4,PLTZERO
277166:5109,120:120,1469212026,STABLE BEAMS,6500,9692.524541649,9381.839027865,33.4,PLTZERO
277166:5109,121:121,1469212049,STABLE BEAMS,6500,9680.109198977,9334.430196387,33.4,PLTZERO
277166:5109,122:122,1469212072,STABLE BEAMS,6500,9672.855380528,9375.285958843,33.3,PLTZERO
277166:5109,123:123,1469212095,STABLE BEAMS,6500,9656.490869169,9374.611478060,33.3,PLTZERO
277166:5109,124:124,1469212119,STABLE BEAMS,6500,9670.618504721,9374.423834298,33.3,PLTZERO
277166:5109,125:125,1469212142,STABLE BEAMS,6500,9661.805477395,9340.343518174,33.3,PLTZERO
277166:5109,126:126,1469212165,STABLE BEAMS,6500,9650.470366863,9341.969762135,33.3,PLTZERO
277166:5109,127:127,1469212189,STABLE BEAMS,6500,9620.213559888,9325.768776586,33.2,PLTZERO
277166:5109,128:128,1469212212,STABLE BEAMS,6500,9641.449691466,9357.681802133,33.2,PLTZERO
277166:5109,129:129,1469212235,STABLE BEAMS,6500,9635.073586238,9352.586457934,33.2,PLTZERO
277166:5109,130:130,1469212259,STABLE BEAMS,6500,9617.283728885,9335.192331825,33.1,PLTZERO
277166:5109,131:131,1469212282,STABLE BEAMS,6500,9605.412109880,9324.853164412,33.1,PLTZERO
277166:5109,132:132,1469212305,STABLE BEAMS,6500,9595.834476852,9304.130952210,33.1,PLTZERO
277166:5109,133:133,1469212329,STABLE BEAMS,6500,9592.170790747,9312.416793901,33.1,PLTZERO
277166:5109,134:134,1469212352,STABLE BEAMS,6500,9582.894740658,9304.044918755,33.0,PLTZERO
277166:5109,135:135,1469212375,STABLE BEAMS,6500,9549.804801990,9273.722934703,32.9,PLTZERO
277166:5109,136:136,1469212399,STABLE BEAMS,6500,9591.556479675,9217.162150573,33.1,PLTZERO
277166:5109,137:137,1469212422,STABLE BEAMS,6500,9571.812883159,9269.733314552,33.0,PLTZERO
277166:5109,138:138,1469212445,STABLE BEAMS,6500,9555.754533611,9232.301469127,32.9,PLTZERO
277166:5109,139:139,1469212468,STABLE BEAMS,6500,9548.111008669,9225.971945614,32.9,PLTZERO
277166:5109,140:140,1469212492,STABLE BEAMS,6500,9539.383505381,9243.037846028,32.9,PLTZERO
277166:5109,141:141,1469212515,STABLE BEAMS,6500,9528.826550597,9257.179028802,32.8,PLTZERO
277166:5109,142:142,1469212538,STABLE BEAMS,6500,9520.959210588,9225.007381177,32.8,PLTZERO
277166:5109,143:143,1469212562,STABLE BEAMS,6500,9515.579495295,9195.714951436,32.8,PLTZERO
