# numbers are:
# Channel   Plane   CWLRotation   LXTrans  LYTrans  LZTrans

 1  -1     0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00
 1   0                     0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00
 1   1                     0.000000E+00    0.000000E+00    0.000000E+00    2.032000E+00
 1   2                     0.000000E+00    0.000000E+00    0.000000E+00    4.064000E+00
 1   3                     0.000000E+00    0.000000E+00    0.000000E+00    6.096000E+00

