# numbers are:
# Channel   Plane   CWLRotation   LXTrans  LYTrans  LZTrans

 1  -1     0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00
 1   0           	   0.000000E+00    0.000000E+00     0.000000E+00     0.000000E+00
 1   1           	   1.115934E-02    4.233287E-02    -7.657652E-04     2.032000E+00
 1   2         		  -1.910864E-03   -5.037406E-02     1.848726E-02     8.128000E+00
 1   3			  -7.993613E-04   -2.182100E-02    -1.159501E-03     1.016000E+01
