Timestamp (UNIX_TIME),VGPB.220.1L5.X.PR,VGPB.220.1R5.X.PR,VGPB.7.4L5.X.PR,VGPB.7.4R5.X.PR,VPIAN.904.4L5.B.PR,VPIAN.904.4R5.R.PR
1465647406300000,,,,9.599999961640293E-11,,
1465647433336000,2.7999999541172826E-10,,,,,
1465647446300000,,2.5999999930803597E-9,,,,
1465647466303000,,,,9.500000092144134E-11,,
1465647495339000,2.8999999623913197E-10,,,,,
1465647500301000,,,,,,6.4933720622661895E-9
1465647518299000,,2.7000000013543968E-9,,,,
1465647528302000,,,,9.500000092144134E-11,,
1465647548341000,,,7.7000003595451E-11,,,
1465647555349000,2.7999999541172826E-10,,,,,
1465647562739000,,,,,,6.4933720622661895E-9
1465647580304000,,2.5999999930803597E-9,,,,
1465647591300000,,,,9.599999961640293E-11,,
1465647616338000,2.7999999541172826E-10,,7.7000003595451E-11,,,
1465647642300000,,2.5999999930803597E-9,,,,
1465647648300000,,3.000000026176508E-9,,,,
1465647651301000,,2.7000000013543968E-9,,,,
1465647653303000,,,,9.599999961640293E-11,,
1465647676339000,,,7.7000003595451E-11,,,
1465647682338000,2.7999999541172826E-10,,,,,
1465647712297000,,2.800000009628434E-9,,,,
1465647714305000,,,,9.500000092144134E-11,,
1465647746345000,2.8999999623913197E-10,,,,,
1465647748343000,,,7.80000022904126E-11,,,
1465647772298000,,2.7000000013543968E-9,,,,
1465647775300000,,,,9.599999961640293E-11,,
1465647779334000,,,,,8.962810049695236E-9,
1465647826918000,2.7999999541172826E-10,,,,,
1465647837122000,,,7.7000003595451E-11,,,
1465647837303000,,,,9.400000222647975E-11,,
1465647847294000,,2.7000000013543968E-9,,,,
1465647878115000,,,,,9.987663140975656E-9,
1465647900305000,,,,9.500000092144134E-11,,
1465647928932000,,2.7000000013543968E-9,,,,
1465647939156000,2.7999999541172826E-10,,,,,
1465647961303000,,,,9.400000222647975E-11,,
1465647974299000,,,,,,7.1519794531127445E-9
1465648011339000,,,,,8.985233002078985E-9,
1465648023299000,,,,9.400000222647975E-11,,
1465648041114000,,,,,,7.1519794531127445E-9
1465648071708000,,,,,8.985233002078985E-9,
1465648084296000,,,,9.500000092144134E-11,,
1465648112305000,,2.5999999930803597E-9,,,,
1465648142794000,,,,,9.888347918263207E-9,
1465648142795000,,,,,,7.074962393716078E-9
1465648149305000,,2.900000017902471E-9,,,,
1465648165298000,,,,9.500000092144134E-11,,
1465648223912000,,2.7000000013543968E-9,,,,
1465648226302000,,,,9.400000222647975E-11,,
1465648232340000,2.8999999623913197E-10,,,,,
1465648247298000,,,,,,7.80555264867644E-9
1465648287300000,,,,9.500000092144134E-11,,
1465648295038000,2.7999999541172826E-10,,,,,
1465648315430000,,2.7000000013543968E-9,,,,
1465648315493000,,,,,,7.80555264867644E-9
1465648349309000,,,,9.300000353151816E-11,,
1465648360338000,2.8999999623913197E-10,,,,,
1465648390303000,,2.800000009628434E-9,,,,
1465648396846000,,,,,,6.981315525678156E-9
1465648410304000,,,,9.400000222647975E-11,,
1465648411335000,,,7.599999796159551E-11,,,
1465648421344000,2.7999999541172826E-10,,,,,
1465648451338000,,,,,1.1194776661227479E-8,
1465648459292000,,2.7000000013543968E-9,,,,
1465648475302000,,,,9.400000222647975E-11,,
1465648477345000,,,7.599999796159551E-11,,,
1465648480305000,,,,,,6.2649494481092916E-9
1465648483339000,2.7999999541172826E-10,,,,,
1465648530304000,,2.800000009628434E-9,,,,
1465648536303000,,,,9.400000222647975E-11,,
1465648549436000,,,,,1.0012640494494462E-8,
1465648549437000,,,,,,6.2649494481092916E-9
1465648553343000,2.8999999623913197E-10,,,,,
1465648590077000,,,7.599999796159551E-11,,,
1465648591299000,,2.7000000013543968E-9,,,,
1465648601303000,,,,9.199999789766267E-11,,
1465648615339000,2.8999999623913197E-10,,,,,
1465648625304000,,,,,,6.946521580175613E-9
1465648644340000,,,,,1.1176151559766367E-8,
1465648652301000,,2.7000000013543968E-9,,,,
1465648655307000,,3.2000000427245823E-9,,,,
1465648658294000,,2.800000009628434E-9,,,,
1465648666297000,,,,9.199999789766267E-11,,
1465648672340000,,,7.7000003595451E-11,,,
1465648675302000,,3.2000000427245823E-9,,,,
1465648681300000,,2.800000009628434E-9,,,,
1465648712121000,,,,,1.1176151559766367E-8,
1465648712122000,,,,,,6.2389182708955104E-9
1465648713336000,2.7999999541172826E-10,,,,,
1465648724296000,,3.100000034450545E-9,,,,
1465648728302000,,,,9.300000353151816E-11,,
1465648732343000,,,7.499999926663392E-11,,,
1465648789300000,,,,9.300000353151816E-11,,
1465648791338000,,,,,1.3648900676344056E-8,
1465648795340000,,,7.599999796159551E-11,,,
1465648833922000,2.7999999541172826E-10,,,,,
1465648833923000,,2.900000017902471E-9,,,,
1465648849302000,,,,9.099999920270108E-11,,
1465648859344000,,,7.599999796159551E-11,,,
1465648864522000,,,,,1.1896497120744698E-8,
1465648900301000,,3.000000026176508E-9,,,,
1465648911302000,,,,9.099999920270108E-11,,
1465648938304000,,2.7000000013543968E-9,,,,
1465648947294000,,3.000000026176508E-9,,,,
1465648951345000,2.8999999623913197E-10,,,,,
1465648954304000,,2.7000000013543968E-9,,,,
1465648956055000,,,7.499999926663392E-11,,,
1465648961298000,,3.000000026176508E-9,,,,
1465648973303000,,,,9.199999789766267E-11,,
1465649022298000,,3.000000026176508E-9,,,,
1465649034300000,,,,9.199999789766267E-11,,
1465649037567000,,,7.499999926663392E-11,,,
1465649044343000,2.8999999623913197E-10,,,,,
1465649086293000,,,,,,6.865991331039822E-9
1465649098297000,,2.900000017902471E-9,,,,
1465649108689000,2.7999999541172826E-10,,,,,
1465649117302000,,2.5999999930803597E-9,,,,
1465649121308000,,3.000000026176508E-9,,9.000000050773949E-11,,
1465649132299000,,2.7000000013543968E-9,,,,
1465649134302000,,3.000000026176508E-9,,,,
1465649140301000,,2.7000000013543968E-9,,,,
1465649148303000,,3.000000026176508E-9,,,,
1465649156306000,,2.7000000013543968E-9,,,,
1465649167337000,,,,,1.0693556262708626E-8,
1465649176294000,,3.000000026176508E-9,,,,
1465649177301000,,2.7000000013543968E-9,,,,
1465649179303000,,3.000000026176508E-9,,,,
1465649182301000,,,,9.000000050773949E-11,,
1465649186300000,,2.7000000013543968E-9,,,,
1465649189990000,,,,,,6.7694725380818E-9
1465649191300000,,3.000000026176508E-9,,,,
1465649193306000,,2.7000000013543968E-9,,,,
1465649194295000,,3.000000026176508E-9,,,,
1465649211303000,,2.7000000013543968E-9,,,,
1465649230665000,,,,,1.0693556262708626E-8,
1465649240303000,,3.000000026176508E-9,,,,
1465649243307000,,,,9.000000050773949E-11,,
1465649256341000,,,7.400000057167233E-11,,,
1465649279299000,,,,,,6.0849680849628385E-9
1465649300305000,,3.000000026176508E-9,,,,
1465649309307000,,,,9.099999920270108E-11,,
1465649312340000,2.8999999623913197E-10,,,,,
1465649326340000,,,,,1.1906394981053836E-8,
1465649329337000,,,7.400000057167233E-11,,,
1465649342569000,,,,,,6.0849680849628385E-9
1465649382301000,,,,8.90000018127779E-11,,
1465649383072000,,3.100000034450545E-9,,,,
1465649390338000,,,7.499999926663392E-11,,,
1465649392337000,,,,,1.0702473574042415E-8,
1465649393212000,2.7999999541172826E-10,,,,,
1465649443303000,,2.900000017902471E-9,,,,
1465649446305000,,,,8.90000018127779E-11,,
1465649454108000,,,7.400000057167233E-11,,,
1465649454137000,,,,,1.0702473574042415E-8,
1465649494303000,,,,,,6.7077405851989624E-9
1465649511298000,,,,9.000000050773949E-11,,
1465649512294000,,2.900000017902471E-9,,,,
1465649531339000,2.8999999623913197E-10,,,,,
1465649535804000,,,,,1.072031796667261E-8,
1465649556168000,,,,,,6.7077405851989624E-9
1465649572298000,,,,8.90000018127779E-11,,
1465649580296000,,2.900000017902471E-9,,,,
1465649596945000,2.7999999541172826E-10,,,,,
1465649609338000,,,7.300000187671074E-11,,,
1465649632301000,,,,8.90000018127779E-11,,
1465649647302000,,2.900000017902471E-9,,,,
1465649673339000,2.8999999623913197E-10,,,,,
1465649677342000,,,7.300000187671074E-11,,,
1465649694302000,,,,9.000000050773949E-11,,
1465649731301000,,3.000000026176508E-9,,,,
1465649739334000,,,7.400000057167233E-11,,,
1465649769755000,,,,8.90000018127779E-11,,
1465649779859000,2.7999999541172826E-10,,,,,
1465649786298000,,,,,,7.753722108816419E-9
1465649793294000,,3.000000026176508E-9,,,,
1465649811337000,,,,,1.2036005969662256E-8,
1465649813341000,,,7.300000187671074E-11,,,
1465649820300000,,,,,,9.532558742364472E-9
1465649833305000,,,,8.80000031178163E-11,,
1465649841341000,2.8999999623913197E-10,,,,,
1465649856299000,,3.000000026176508E-9,,,,
1465649879344000,,,7.300000187671074E-11,,,
1465649895302000,,,,8.90000018127779E-11,,
1465649901299000,,,,,,9.398545053329599E-9
1465649901855000,,,,,1.0729237942541658E-8,
1465649923304000,,2.900000017902471E-9,,,,
1465649939345000,,,7.400000057167233E-11,,,
1465649952562000,2.7999999541172826E-10,,,,,
1465649956296000,,,,8.90000018127779E-11,,
1465649982959000,,,,,,8.343326030058051E-9
1465649992303000,,3.100000034450545E-9,,,,
1465650011335000,,,,,1.184705578083367E-8,
1465650016302000,,,,8.90000018127779E-11,,
1465650021337000,2.8999999623913197E-10,,,,,
1465650053910000,,,7.300000187671074E-11,,,
1465650072306000,,3.000000026176508E-9,,,,
1465650074204000,,,,,1.184705578083367E-8,
1465650074304000,,,,,,9.532558742364472E-9
1465650079304000,,,,8.90000018127779E-11,,
1465650081342000,2.7999999541172826E-10,,,,,
1465650142299000,,,,8.90000018127779E-11,,
1465650142342000,,,,,1.204603172766383E-8,
1465650159343000,2.8999999623913197E-10,,,,,
1465650175843000,,,,,,8.504678739029714E-9
1465650192305000,,3.000000026176508E-9,,,,
1465650207297000,,,,8.699999748396081E-11,,
1465650230341000,,,7.200000318174915E-11,,,
1465650236728000,,,,,1.0791980642466115E-8,
1465650240343000,2.8999999623913197E-10,,,,,
1465650243296000,,,,,,9.398545053329599E-9
1465650266302000,,3.000000026176508E-9,,,,
1465650274298000,,,,8.699999748396081E-11,,
1465650285336000,,,,,1.304867414120281E-8,
1465650306344000,2.8999999623913197E-10,,,,,
1465650307834000,,,,,,9.398545053329599E-9
1465650328091000,,,7.200000318174915E-11,,,
1465650336294000,,,,8.80000031178163E-11,,
1465650348547000,,2.900000017902471E-9,,,,
1465650355346000,,,,,1.2994456177750635E-8,
1465650368338000,2.7999999541172826E-10,,,,,
1465650372298000,,,,,,1.0180826848227298E-8
1465650398304000,,,,8.80000031178163E-11,,
1465650419604000,,,,,1.2994456177750635E-8,
1465650420300000,,,,,,1.2600136933826889E-8
1465650438338000,2.7999999541172826E-10,,,,,
1465650452297000,,,,,,1.5452151558292826E-8
1465650463302000,,,,8.599999878899922E-11,,
1465650483303000,,3.000000026176508E-9,,,,1.887100964381716E-8
1465650490688000,,,,,1.4372170120680039E-8,
1465650504331000,2.7999999541172826E-10,,,,,
1465650509300000,,,,,,2.3258362347178263E-8
1465650520346000,,,,,1.8146620206493935E-8,
1465650526307000,,,,8.699999748396081E-11,,
1465650535299000,,,,,,2.833344403541105E-8
1465650546347000,,,,,2.2571365221324413E-8,
1465650553300000,,2.900000017902471E-9,,,,
1465650569304000,,,,,,3.431532746844823E-8
1465650570343000,2.7999999541172826E-10,,,,,
1465650576340000,,,,,2.7634319721414613E-8,
1465650587294000,,,,8.80000031178163E-11,,
1465650606341000,,,,,3.40307231283532E-8,
1465650624303000,,2.900000017902471E-9,,,,
1465650627339000,,,,,4.156009580924547E-8,
1465650646338000,2.7999999541172826E-10,,,,,
1465650648299000,,,,8.599999878899922E-11,,
1465650653315000,,,,,,3.7795853558009185E-8
1465650674344000,,,,,5.1436238379665156E-8,
1465650691294000,,3.000000026176508E-9,,,,
1465650708343000,2.8999999623913197E-10,,,,,
1465650709297000,,,,8.699999748396081E-11,,
1465650729345000,,,,,6.234757421452741E-8,
1465650754304000,,2.900000017902471E-9,,,,
1465650769338000,2.8999999623913197E-10,,,,,
1465650771311000,,,,8.699999748396081E-11,,
1465650780341000,,,7.099999754789366E-11,,7.557364511967535E-8,
1465650829340000,2.7999999541172826E-10,,,,,
1465650832307000,,,,8.599999878899922E-11,,
1465650848340000,,,7.099999754789366E-11,,,
1465650860297000,,2.900000017902471E-9,,,,
1465650866928000,,,,,8.584376587350562E-8,
1465650893302000,,,,8.699999748396081E-11,,
1465650893343000,2.8999999623913197E-10,,,,,
1465650901342000,,,,,1.044012876150191E-7,
1465650916337000,,,7.099999754789366E-11,,,
1465650920300000,,2.900000017902471E-9,,,,
1465650926295000,,,,,,4.197755387735924E-8
1465650954302000,,,,8.599999878899922E-11,,
1465650959340000,2.7999999541172826E-10,,,,,
1465650982348000,,,7.099999754789366E-11,,,
1465650988863000,,,,,,4.197755387735924E-8
1465650996298000,,2.900000017902471E-9,,,,
1465650999339000,,,,,1.295338449835981E-7,
1465651018296000,,,,8.699999748396081E-11,,
1465651020346000,2.8999999623913197E-10,,,,,
1465651048333000,,,7.099999754789366E-11,,,
1465651057297000,,2.900000017902471E-9,,,,
1465651078301000,,,,8.500000009403763E-11,,
1465651081305000,,2.3999999765322855E-9,,,,
1465651082339000,,,,,1.575361920913565E-7,
1465651100682000,,,,,,4.6544300857931376E-8
1465651105340000,2.7999999541172826E-10,,,,,
1465651109339000,,,7.200000318174915E-11,,,
1465651143335000,,,,,1.742388633374503E-7,
1465651144301000,,,,8.500000009403763E-11,,
1465651151478000,,2.3999999765322855E-9,,,,
1465651167335000,2.8999999623913197E-10,,,,,
1465651171830000,,,,,,5.13079285724416E-8
1465651175337000,,,7.099999754789366E-11,,,
1465651211301000,,,,8.500000009403763E-11,,
1465651212596000,,,,,1.742388633374503E-7,
1465651231336000,2.7999999541172826E-10,,,,,
1465651237342000,,,7.200000318174915E-11,,,
1465651243029000,,,,,,5.655904189438843E-8
1465651255304000,,2.5999999930803597E-9,,,,
1465651273297000,,,,8.599999878899922E-11,,6.872861035844835E-8
1465651281339000,,,,,1.936776783395544E-7,
1465651303922000,2.8999999623913197E-10,,,,,
1465651314125000,,,7.099999754789366E-11,,,
1465651320296000,,,,,,8.386511751723447E-8
1465651321296000,,2.5999999930803597E-9,,,,
1465651337303000,,,,8.500000009403763E-11,,
1465651344701000,,,,,1.936776783395544E-7,
1465651365303000,,,,,,1.0216497514647926E-7
1465651402302000,,,,8.599999878899922E-11,,
1465651405704000,2.8999999623913197E-10,,,,,
1465651408305000,,,,,,1.2425077500211046E-7
1465651424296000,,2.5999999930803597E-9,,,,
1465651453337000,,,,,2.357427035803994E-7,
1465651456301000,,,,,,1.5148894760841358E-7
1465651466303000,,,,8.599999878899922E-11,,
1465651475340000,2.7999999541172826E-10,,,,,
1465651486965000,,2.4999999848063226E-9,,,,
1465651506307000,,,,,,1.8439112636770005E-7
1465651532301000,,,,8.599999878899922E-11,,
1465651541343000,2.7999999541172826E-10,,,,2.8742232416334446E-7,
1465651555296000,,2.3999999765322855E-9,,,,2.2387909837107145E-7
1465651579341000,,,7.300000187671074E-11,,,
1465651596298000,,,,8.599999878899922E-11,,
1465651604303000,,,,,,2.722767931118142E-7
1465651616306000,,2.5999999930803597E-9,,,,
1465651621337000,,,,,3.4955681371684477E-7,
1465651626342000,2.7999999541172826E-10,,,,,
1465651651295000,,,,,,3.3058594794965757E-7
1465651657299000,,,,8.400000139907604E-11,,
1465651670107000,,,7.099999754789366E-11,,,
1465651674342000,,,,,4.26186630875236E-7,
1465651681299000,,2.3999999765322855E-9,,,,
1465651692337000,2.7999999541172826E-10,,,,,
1465651699307000,,,,,,4.017167043457448E-7
1465651718302000,,,,8.599999878899922E-11,,
1465651732339000,,,,,5.209151368035236E-7,
1465651743298000,,,,,,4.889658953288745E-7
1465651748299000,,2.3999999765322855E-9,,,,
1465651753334000,2.7999999541172826E-10,,,,,
1465651781302000,,,,8.500000009403763E-11,,
1465651785350000,,,,,6.314186293820967E-7,
1465651790302000,,,,,,5.976483521408227E-7
1465651815346000,2.8999999623913197E-10,,,,,
1465651825303000,,2.3999999765322855E-9,,,,
1465651837300000,,,,,,7.23826644843939E-7
1465651842303000,,,,8.599999878899922E-11,,
1465651849347000,,,7.400000057167233E-11,,7.704800282226643E-7,
1465651855292000,,2.7000000013543968E-9,,,,
1465651883341000,2.8999999623913197E-10,,,,,
1465651886302000,,,,,,8.781050837569637E-7
1465651902305000,,,,8.500000009403763E-11,,
1465651913342000,,,7.099999754789366E-11,,,
1465651917341000,,,,,9.425194775758428E-7,
1465651920305000,,2.4999999848063226E-9,,,,
1465651945334000,2.8999999623913197E-10,,,,,
1465651966300000,,,,8.500000009403763E-11,,
1465651985320000,,,,,9.425194775758428E-7,
1465651985329000,,,,,,9.679752110969275E-7
1465651991297000,,2.5999999930803597E-9,,,,
1465651991346000,,,7.099999754789366E-11,,,
1465652015340000,2.7999999541172826E-10,,,,,
1465652029341000,,,,,7.552325200776977E-7,
1465652031304000,,,,8.500000009403763E-11,,
1465652067301000,,,,,,8.708226459930302E-7
1465652076761000,,,7.099999754789366E-11,,,
1465652081339000,2.7999999541172826E-10,,,,,
1465652084299000,,2.3999999765322855E-9,,,,
1465652094299000,,,,8.599999878899922E-11,,
1465652097335000,,,,,6.031488624103076E-7,
1465652127564000,,,,,,8.708226459930302E-7
1465652132296000,,2.7000000013543968E-9,,,,
1465652142298000,,2.3999999765322855E-9,,,,
1465652142342000,2.8999999623913197E-10,,,,,
1465652155339000,,,6.999999885293207E-11,,,
1465652165345000,,,,,4.845069270231761E-7,
1465652185304000,,,,8.400000139907604E-11,,
1465652204297000,,2.3999999765322855E-9,,,,
1465652207300000,,,,,,7.036185252218274E-7
1465652208342000,2.7999999541172826E-10,,,,,
1465652219337000,,,6.999999885293207E-11,,,
1465652231344000,,,,,3.9147815300566435E-7,
1465652249296000,,,,8.400000139907604E-11,,
1465652264301000,,2.5999999930803597E-9,,,,
1465652269811000,,,,,,7.036185252218274E-7
1465652272341000,2.7999999541172826E-10,,,,,
1465652279917000,,,6.999999885293207E-11,,,
1465652294304000,,3.100000034450545E-9,,,,
1465652296306000,,3.6000000758207307E-9,,,,
1465652310301000,,,,8.500000009403763E-11,,
1465652333352000,2.7999999541172826E-10,,,,,
1465652340341000,,,6.999999885293207E-11,,,
1465652340871000,,,,,3.504311507640523E-7,
1465652340872000,,,,,,6.329982511488197E-7
1465652344300000,,3.2000000427245823E-9,,,,
1465652376298000,,,,8.400000139907604E-11,,
