01   Slink_20111011.032500.dat   20111011.004653   1   13  0  23    37913
02   Slink_20111011.033000.dat   20111011.004653   1   13  0  23    25011
03   Slink_20111011.034600.dat   20111011.004653   1   13  0  23    40386
04   Slink_20111011.035300.dat   20111011.004653   1   13  0  23    11300
05   Slink_20111011.040300.dat   20111011.004653   1   13  0  23    20845
06   Slink_20111011.042000.dat   20111011.004653   1   13  0  23    41959
07   Slink_20111011.043400.dat   20111011.004653   1   13  0  23    31021
08   Slink_20111011.043900.dat   20111011.004653   1   13  0  23    5441
09   Slink_20111011.050800.dat   20111011.004653   1   13  0  23    67477
10   Slink_20111011.052000.dat   20111011.004653   1   13  0  23    18844
11   Slink_20111011.052500.dat   20111011.004653   1   13  0  23    22507
12   Slink_20111011.062000.dat   20111011.004653   1   13  0  23    17672
13   Slink_20111011.063000.dat   20111011.004653   1   13  0  23    24651
14   Slink_20111011.064500.dat   20111011.004653   1   13  0  23    86198
15   Slink_20111011.073000.dat   20111011.004653   1   13  0  23    66149
16   Slink_20111011.080000.dat   20111011.004653   1   13  0  23    32854
17   Slink_20111011.120824.dat   20111011.004653   1   13  0  23    17894
18   Slink_20111011.124101.dat   20111011.004653   1   13  0  23    26414
19   Slink_20111011.125523.dat   20111011.004653   1   13  0  23    29878
20   Slink_20111011.145346.dat   20111011.004653   1   13  0  23    68069
21   Slink_20111011.164017.dat   20111011.004653   1   13  0  23    29562
22   Slink_20111011.170450.dat   20111011.004653   1   13  0  23    32066
23   Slink_20111011.194456.dat   20111011.004653   1   13  0  23    78876
24   Slink_20111011.204100.dat   20111011.004653   1   13  0  23    10523
25   Slink_20111011.205436.dat   20111011.004653   1   13  0  23    56724
26   Slink_20111011.211532.dat   20111011.004653   1   13  0  23    28060
27   Slink_20111011.212231.dat   20111011.004653   1   13  0  23    60036
28   Slink_20111011.213626.dat   20111011.004653   1   13  0  23    35482
29   Slink_20111011.214722.dat   20111011.004653   1   13  0  23    48164
30   Slink_20111011.220912.dat   20111011.004653   1   13  0  23    57126
31   Slink_20111011.222857.dat   20111011.004653   1   13  0  23    29117
32   Slink_20111011.224736.dat   20111011.004653   1   13  0  23    23400
33   Slink_20111011.230109.dat   20111011.004653   1   13  1  23    4353
34   Slink_20111011.230431.dat   20111011.004653   1   13  1  23    49553
35   Slink_20111012.012456.dat   20111011.004653   1   13  1  23    200000
36   Slink_20111012.023412.dat   20111012.005447   1   13  1  23    31238
37   Slink_20111012.030123.dat   20111012.005447   1   13  1  23    194302
38   Slink_20111012.040309.dat   20111012.005447   1   13  1  23    126938
41   Slink_20111013.092029.dat   20111012.070322   1   21  1  21    8
42   Slink_20111013.120717.dat   20111012.070322   1   21  1  21    61874
43   Slink_20111013.200616.dat   20111013.121244   1   13  0  23    199439
44   Slink_20111014.023905.dat   20111014.024720   1   29  2  20    60176
45   Slink_20111014.031535.dat   20111014.024720   1   29  2  20    61874
46   Slink_20111014.035116.dat   20111014.024720   1   29  2  20    160556
47   Slink_20111014.045215.dat   20111014.024720   1   29  1  20    163123
48   Slink_20111014.063617.dat   20111014.024720   1   29  0  20    183427
49   Slink_20111014.074628.dat   20111014.024720   1   29  0  20    30158
50   Slink_20111014.120010.dat   20111014.120740   1   05  0  24    28921
51   Slink_20111014.123510.dat   20111014.120740   1   05  0  24    21435
52   Slink_20111014.125514.dat   20111014.120740   1   05  0  24    11957
53   Slink_20111014.131009.dat   20111014.120740   1   05  0  24    150584
54   Slink_20111014.145551.dat   20111014.120740   1   05  1  24    22724
55   Slink_20111014.161240.dat   20111014.120740   1   05  1  24    153509
56   Slink_20111014.204632.dat   20111014.120740   1   29  2  20    20309
57   Slink_20111014.205912.dat   20111014.120740   1   29  0  20    200000
58   Slink_20111015.032447.dat   20111014.120740   1   29  0  20    200000
59   Slink_20111015.053657.dat   20111014.120740   1   29  0  20    95481
60   Slink_20111015.075715.dat   20111015.063527   1   05  2  24    17478
61   Slink_20111015.080915.dat   20111015.080329   1   05  2  24    96350
62   Slink_20111015.085435.dat   20111015.080329   1   05  1  24    11481
63   Slink_20111015.085936.dat   20111015.080329   1   05  2  24    200000
64   Slink_20111015.122436.dat   20111015.080329   2   05  0  24    7729
65   Slink_20111015.123359.dat   20111015.145437   2   05  0  24    24513
66   Slink_20111015.124943.dat   20111015.145437   2   05  0  24    48811
67   Slink_20111015.155156.dat   20111015.160045   2   05  0  24    175229
68   Slink_20111015.165914.dat   20111015.160045   2   05  1  24    184625
69   Slink_20111015.183409.dat   20111015.160045   2   05  2  24    200000
70   Slink_20111015.210209.dat   20111015.160045   2   21  0  21    187317
71   Slink_20111015.223008.dat   20111015.160045   2   20  0  20    15776
72   Slink_20111015.224600.dat   20111015.160045   2   20  0  20    10275
73   Slink_20111015.232654.dat   20111015.233124   2   29  0  20    150359
74   Slink_20111016.010952.dat   20111016.013846   2   29  1  20    151861
75   Slink_20111016.032335.dat   20111016.013846   2   29  2  20    144185
76   Slink_20111016.052714.dat   20111016.052402   2   21  0  21    14753
77   Slink_20111016.053727.dat   20111016.052402   2   21  0  21    2085
78   Slink_20111016.054220.dat   20111016.052402   2   21  0  21    8246
79   Slink_20111016.054927.dat   20111016.052402   2   21  0  21    8419
80   Slink_20111016.055618.dat   20111016.052402   2   21  0  21    2196
81   Slink_20111016.061118.dat   20111016.052402   2   21  0  21    90954
82   Slink_20111016.073726.dat   20111016.052402   2   21  0  21    170570
83   Slink_20111016.085334.dat   20111016.052402   2   21  1  21    200000
84   Slink_20111016.102916.dat   20111016.052402   2   21  2  21    198144
