fill|start_time|start_stable_beam|end_stable_beam|end_time|wloopTS|slinkTS
4536|20151026.015953|20151026.092634|20151026.102732|20151026.112340|20151026.085332|20151026.092641
4538|20151026.150524|20151026.172509|20151027.174403|20151027.175204|20151026.165352 20151027.085734 20151027.090134|20151026.172510
4540|20151027.230001|20151028.012654|20151028.140104|20151028.141139|20151028.005754|20151028.012656 20151028.012656
4545|20151029.005716|20151029.030457|20151029.054744|20151029.061701|20151029.022934|
4555|20151030.051725|20151030.101715|20151030.124221|20151030.125218|20151030.094701|20151030.101718
4557|20151030.160342|20151030.183839|20151031.103846|20151031.110247|20151030.162812 20151030.181055 20151031.101059|
4560|20151031.170445|20151031.204210|20151101.153516|20151101.154647|20151031.174116 20151031.174125 20151031.174135 20151031.174144 20151031.174154 20151031.180555 20151031.201508 20151101.115244|20151031.204210
4562|20151101.193702|20151101.213245|20151102.012313|20151102.013151|20151101.210804|20151101.213247
4565|20151102.052650|20151102.084112|20151102.105341|20151102.111013|20151102.062423 20151102.081208|20151102.084117 20151102.084117
4569|20151102.162017|20151102.190514|20151103.062550|20151103.065335|20151102.163808 20151102.182312|
4634|20151119.075341|20151119.143904|20151120.061729|20151120.064357|20151119.101704 20151119.101723 20151119.103055 20151119.103203 20151119.121303 20151119.141917 20151119.142813 20151119.151412 20151119.213958|20151119.143906 20151119.151428 20151119.193544 20151119.213850
4638|20151120.102229|20151120.122033|20151120.144127|20151120.150709|20151120.102402 20151120.105231 20151120.110113 20151120.120433|20151120.122034 20151120.122034
4639|20151120.150709|20151120.194345|20151120.220533|20151120.223209|20151120.163003 20151120.192230 20151120.212103 20151120.212249|20151120.194345 20151120.194345
4640|20151120.223209|20151121.012457|20151121.121603|20151121.124311|20151120.230630 20151121.011014|20151121.012458 20151121.012458
4643|20151121.182222|20151121.200310|20151122.100405|20151122.104622|20151121.194949|20151121.200310
4647|20151122.230745|20151123.002020|20151123.062854|20151123.065330|20151123.000744|20151123.002021
4658|20151125.062227|20151125.095921|20151125.153853|20151125.154918|20151125.081138 20151125.091240|20151125.095923 20151125.124845
4659|20151125.154918|20151125.225148|20151126.010320|20151126.011157|20151125.201116 20151125.221041|
4661|20151126.041330|20151126.070455|20151126.095951|20151126.101138|20151126.045607 20151126.060409|
4664|20151126.141544|20151126.163336|20151126.210027|20151126.210957|20151126.155946|20151126.163344
4666|20151127.045315|20151127.083445|20151127.133948|20151127.135017|20151127.061554 20151127.075956|20151127.083445
4669|20151127.181843|20151127.213112|20151128.034116|20151128.035036|20151127.191344 20151127.205617|20151127.213118
4671|20151128.063821|20151128.111312|20151128.201617|20151128.202552|20151128.084428 20151128.104002|20151128.111312
4672|20151128.202552|20151128.235337|20151129.064818|20151129.065640|20151128.212916 20151128.231920|20151128.235343
4677|20151129.151701|20151129.174254|20151130.003650|20151130.004601|20151129.170856|
4679|20151130.054723|20151130.082730|20151130.152558|20151130.153530|20151130.055818 20151130.075409|
4680|20151130.153530|20151130.211718|20151201.023024|20151201.023955|20151130.185917 20151130.204332|20151130.211719
4681|20151201.023955|20151201.074027|20151201.193115|20151201.194233|20151201.040949 20151201.042004 20151201.070643|20151201.074033 20151201.190807
4685|20151202.012509|20151202.053923|20151202.090737|20151202.091601|20151202.050535|
4688|20151202.195759|20151203.024458|20151203.030320|20151203.033121|20151203.002839 20151203.011803 20151203.020824|
4689|20151203.033121|20151203.090348|20151203.180720|20151203.181601|20151203.044113 20151203.060035 20151203.073632 20151203.081030 20151203.084723 20151203.105719 20151203.143929 20151203.144459 20151203.175014|20151203.105722 20151203.144503 20151203.175016
4690|20151203.181601|20151203.221018|20151204.063703|20151204.064411|20151203.185854 20151203.213019|
4691|20151204.064411|20151204.125149|20151204.202233|20151204.203107|20151204.073321 20151204.092409 20151204.101315 20151204.121240|20151204.125154
4692|20151204.203107|20151204.232312|20151205.070332|20151205.071200|20151204.211255 20151204.225121|
4693|20151205.071200|20151205.102200|20151205.112136|20151205.113331|20151205.080144 20151205.094806|20151205.102200
4695|20151205.140130|20151205.172901|20151206.004236|20151206.005210|20151205.151339 20151205.165611|
4696|20151206.005210|20151206.070352|20151206.123222|20151206.123941|20151206.013059 20151206.062745|
4697|20151206.123941|20151206.163433|20151206.220455|20151206.221653|20151206.132209 20151206.160350|20151206.163433
4698|20151206.221653|20151207.014145|20151207.015036|20151207.021959|20151206.225928 20151207.010711|20151207.014152
4699|20151207.021959|20151207.053018|20151207.111038|20151207.111940|20151207.030349 20151207.045302|
4705|20151208.034202|20151208.053753|20151208.080129|20151208.080917|20151208.042149 20151208.050213|
4706|20151208.080917|20151208.110814|20151208.154024|20151208.154828|20151208.085214 20151208.103112|
4709|20151209.052233|20151209.084101|20151209.142757|20151209.143813|20151209.063201 20151209.080713|
4710|20151209.143813|20151209.174240|20151209.233452|20151209.234458|20151209.151835 20151209.170856|
4711|20151209.234458|20151210.023806|20151210.091459|20151210.092337|20151210.003050 20151210.020352|
4714|20151210.213353|20151211.012025|20151211.075904|20151211.080817|20151210.224614 20151211.004530|20151211.012026
4715|20151211.080817|20151211.113738|20151211.180831|20151211.181716|20151211.090705 20151211.105924|20151211.113738
4717|20151211.204217|20151211.230050|20151212.092139|20151212.093013|20151211.222137|
4719|20151212.133712|20151212.172647|20151212.220224|20151212.221243|20151212.145148 20151212.164009 20151212.171245|20151212.172655
4720|20151212.221243|20151213.011020|20151213.120955|20151213.122124|20151212.225210 20151213.003544|20151213.011026
4725|20160310.124030|20160314.140455|20160317.120654|20160321.014800|20160318.190800|
4726|20160321.014800|20160324.235639|20160325.083528|20160325.190452|20160323.201807 20160323.203238 20160323.221501 20160324.192847 20160324.203303 20160324.235648 20160325.082340 20160325.084053 20160325.143043 20160325.150629|
4851|20160422.203801|20160422.224812|20160423.023626|20160423.025154|20160422.212159 20160422.220520 20160422.232107 20160423.000139 20160423.002043 20160423.004032 20160423.010049 20160423.012829 20160423.015040 20160423.021029 20160423.023044|20160422.232620
4852|20160423.025154|20160423.062117|20160423.085642|20160423.090236|20160423.042145 20160423.054405|20160423.062129
4856|20160423.205933|20160423.225100|20160424.121328|20160424.121920|20160423.213856 20160423.221409|20160423.225107 20160424.071658
4861|20160424.205331|20160424.232357|20160425.074832|20160425.075553|20160424.215338 20160424.224636|20160424.232406
4874|20160426.231409|20160427.043805|20160427.101643|20160427.102338|20160426.235247 20160427.035147 20160427.092839 20160427.093215|20160427.043815 20160427.093307
4879|20160428.185724|20160428.202728|20160429.033216|20160429.145404|20160428.194306|20160428.202744
4888|20160506.193023|20160506.214616|20160506.231206|20160506.231934|20160506.201036 20160506.205643|20160506.214627
4889|20160506.231934|20160507.014840|20160507.035949|20160507.041245|20160506.235848 20160507.010633|20160507.014857
4890|20160507.041245|20160507.081627|20160507.132113|20160507.132840|20160507.045700 20160507.074104|20160507.081644 20160507.125943
4892|20160507.151843|20160507.165728|20160508.041007|20160508.042319|20160507.161428 20160507.161841|20160507.165735
4895|20160508.100437|20160508.125422|20160508.203528|20160508.204323|20160508.101536 20160508.121416|20160508.125432
4896|20160508.204323|20160508.232549|20160508.235558|20160509.001153|20160508.211948 20160508.213810 20160508.224253|20160508.232556
4905|20160509.204241|20160509.225509|20160510.012730|20160510.013609|20160509.204407 20160509.222020|
4906|20160510.013609|20160510.040225|20160510.063434|20160510.065055|20160510.023457 20160510.032947|20160510.040232
4910|20160510.163619|20160510.191858|20160511.060105|20160511.060747|20160510.172244 20160510.183743|20160510.191912 20160511.033630
4915|20160511.172042|20160511.202251|20160512.054012|20160512.055248|20160511.175903 20160511.193739|
4919|20160512.183417|20160512.201605|20160513.051158|20160513.052216|20160512.183454 20160512.193248|20160512.201611
4924|20160513.214130|20160514.014815|20160514.083419|20160514.084209|20160513.223322 20160514.005813|20160514.014829 20160514.080720
4925|20160514.084209|20160514.111649|20160514.161217|20160514.161519|20160514.092148 20160514.093507 20160514.104107|20160514.111706
